user_id,hotel_name,rating,price,trip_type,companion,star,district,destination
,Mandarin Orchard Singapore,4,0.246925508,business,friend,5,Orchard, Singapore
,Maple Lodge @ Chinatown,4,0.008990126,leisure,couple,1,Chinatown, Singapore
,Maple Lodge @ Chinatown,4,0.008990126,business,couple,1,Chinatown, Singapore
,Marina Bay Sands,5,0.239163542,business,family,5,Marina Bay, Singapore
,Marrison @ Desker,3,0.023809914,business,couple,2,Little India, Singapore
,Marrison @ Desker,3,0.023809914,leisure,couple,2,Little India, Singapore
,Marrison @ Desker,3,0.022418,business,solo,2,Little India, Singapore
,Marrison Hotel,3,0.032669036,leisure,solo,3,Singapore,0
,Marrison Hotel,3,0.032669036,business,solo,3,Singapore,0
,Marrison Hotel,3,0.032669036,leisure,couple,3,Singapore,0
,Marrison Hotel,3,0.039448475,business,family,3,Singapore,0
,Marrison Hotel,3,0.032669036,business,couple,3,Singapore,0
,May & May Hostel,3,0.003668102,business,solo,1,Singapore,0
,May & May Hostel,3,0.003668102,leisure,solo,1,Singapore,0
,Meadows Hostel,4,0.003258716,leisure,solo,1,Lavender, Singapore
,Meadows Hostel,4,0.030245468,business,friend,1,Lavender, Singapore
,Meadows Hostel,4,0.030245468,leisure,friend,1,Lavender, Singapore
,Meadows Hostel,4,0.012265217,business,couple,1,Lavender, Singapore
,Meadows Hostel,4,0.003258716,business,solo,1,Lavender, Singapore
,Meadows Hostel,4,0.012265217,leisure,couple,1,Lavender, Singapore
,Mercure Singapore Bugis,4,0.055758429,business,couple,4,Singapore,0
,Mercure Singapore Bugis,4,0.055758429,leisure,solo,4,Singapore,0
,Mercure Singapore Bugis,4,0.055758429,business,solo,4,Singapore,0
,Mitraa Inn,4,0.004077489,leisure,solo,1,Lavender, Singapore
,Mitraa Inn,4,0.028280413,business,family,1,Lavender, Singapore
,Mitraa Inn,4,0.028280413,leisure,couple,1,Lavender, Singapore
,Mitraa Inn,4,0.028280413,leisure,family,1,Lavender, Singapore
,Moni Gallery Hostel,3,0,leisure,solo,1,Lavender, Singapore
,Moni Gallery Hostel,3,0,business,solo,1,Lavender, Singapore
,Moni Gallery Hostel,3,0.023335025,leisure,couple,1,Lavender, Singapore
,Moon 23 Hotel,3,0.082663304,business,family,3,Little India, Singapore
,Moon 23 Hotel,3,0.038465947,leisure,couple,3,Little India, Singapore
,Moon 23 Hotel,3,0.082663304,leisure,family,3,Little India, Singapore
,Moon 23 Hotel,3,0.038465947,business,solo,3,Little India, Singapore
,Moon 23 Hotel,3,0.038465947,leisure,solo,3,Little India, Singapore
,Moon 23 Hotel,3,0.038465947,business,couple,3,Little India, Singapore
,Nano Hostel,3,0.021910361,leisure,friend,3,Singapore,0
,Nano Hostel,3,0.021910361,business,friend,3,Singapore,0
,New Cape Inn,3,0.035158105,leisure,solo,3,Tiong Bahru, Singapore
,New Cape Inn,3,0.055594675,business,family,3,Tiong Bahru, Singapore
,New Cape Inn,3,0.076031244,business,friend,3,Tiong Bahru, Singapore
